2014-09-06,6,2,1,1,6,1,1,3,2,2,0,2,1,0,0,2,0,2,0,0,1,1,0,0,0,0,1,0,2,0,3,1,12,3,3,5,4,4,11,9,39,10,18,1,6,7,4,7,28,21,8,6,9,13,11,18,11,17,18,8,11,18,15,5,16,12,0,5,0,1
2014-09-07,1,1,5,0,3,0,1,3,3,0,3,0,0,0,0,0,0,0,0,0,3,1,2,0,1,2,4,5,7,0,4,4,13,3,8,6,3,1,7,8,21,2,14,6,6,11,2,1,23,13,6,3,11,6,12,2,5,11,13,1,14,10,6,2,23,6,1,2,0,1
2014-09-08,21,3,6,3,5,3,2,3,8,2,1,1,1,2,0,2,0,0,0,0,6,11,4,6,7,7,1,4,1,1,1,0,35,24,18,23,11,16,13,22,53,20,17,52,34,24,7,13,49,65,23,34,43,50,21,44,25,70,107,20,30,24,50,23,41,60,2,26,0,4
2014-09-09,26,1,7,2,4,2,7,3,6,8,0,2,1,2,0,1,2,0,1,0,6,14,4,6,5,6,1,3,0,2,2,0,41,16,22,26,7,24,11,23,63,24,17,47,36,29,8,15,40,70,29,24,45,45,22,52,32,82,116,19,27,18,46,25,44,51,4,30,1,7
2014-09-10,24,8,9,1,6,5,4,1,4,5,0,2,3,3,0,1,0,0,0,0,7,15,5,5,5,4,1,3,3,4,3,1,35,14,17,27,8,17,21,20,53,26,22,58,33,27,6,13,49,56,34,27,41,38,25,26,26,90,103,18,35,27,53,29,42,63,2,31,1,6
2014-09-11,23,2,10,5,8,4,5,4,8,4,1,5,6,0,0,3,2,0,0,0,3,9,6,4,6,7,1,3,3,3,1,3,37,18,22,25,6,21,14,22,64,28,21,60,29,35,8,17,47,60,34,27,41,40,22,46,30,96,93,26,38,26,49,26,39,38,4,27,0,6
2014-09-12,17,2,3,0,2,2,0,2,3,0,0,1,1,1,1,3,0,0,0,0,7,19,2,5,3,8,1,0,3,4,4,3,48,21,18,25,7,22,21,22,64,32,19,48,30,30,9,15,50,65,35,20,44,44,20,36,28,65,100,24,21,29,48,28,39,55,2,25,0,2
2014-09-13,2,2,3,3,5,1,0,1,0,0,1,1,2,0,0,3,0,0,2,0,0,4,0,2,0,1,0,7,3,2,0,0,32,19,6,6,9,7,18,5,54,5,17,10,11,11,5,6,65,28,7,7,16,10,10,4,2,15,10,17,15,13,6,13,17,14,0,18,1,2
2014-09-14,3,8,3,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,2,2,5,1,6,3,4,0,21,3,5,4,4,4,10,9,43,5,20,10,11,7,6,6,26,24,9,7,6,8,10,4,9,8,9,10,18,10,12,6,25,7,1,7,0,4
2014-09-15,22,4,5,10,5,6,4,7,6,4,3,2,1,2,0,3,0,0,1,0,6,13,5,3,4,6,0,7,8,1,3,2,44,19,18,22,6,23,21,15,62,34,24,60,44,28,9,20,56,66,24,31,51,57,26,50,32,95,106,23,27,34,55,35,57,56,2,35,1,5
